liga,temporada,equipo,id,nombre,posicion,dorsal,Aerial Duels,Aerial Duels lost,Aerial Duels won,Appearances,Backward Passes,Blocked Shots,Blocks,Carries,Clean Sheets,Corners Won,Duels,Duels lost,Duels won,Final Third Touches,Forward Passes,Foul Attempted Tackle,Games Played,Goal Assists,Goals,Goals Conceded,Goals Conceded Inside Box,Goals Conceded Outside Box,Goals Openplay,Goals from Inside Box,Goals from Outside Box,Ground Duels,Ground Duels lost,Ground Duels won,Index,Interceptions,Key Passes (Attempt Assists),Leftside Passes,Offsides,Open Play Passes,Penalty Goals Conceded,Progressive Carries,PutThrough/Blocked Distribution,PutThrough/Blocked Distribution Won,Recoveries,Right Foot Goals,Rightside Passes,Shots Off Target (inc woodwork),Shots On Target ( inc goals ),Starts,Substitute Off,Successful Dribbles,Successful Launches,Successful Lay-offs,Successful Long Passes,Successful Open Play Passes,Successful Passes Opposition Half,Successful Passes Own Half,Successful Short Passes,Tackles Lost,Tackles Won,Through balls,Throw Ins to Own Player,Time Played,Times Tackled,Total Big Chances Scored,Total Clearances,Total Fouls Conceded,Total Fouls Won,Total Losses Of Possession,Total Passes,Total Shots,Total Successful Passes ( Excl Crosses & Corners ) ,Total Tackles,Total Touches In Opposition Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Dribbles,Unsuccessful Launches,Unsuccessful Long Passes,Unsuccessful Passes Opposition Half,Unsuccessful Passes Own Half,Unsuccessful Short Passes,Yellow Cards,Home Goals,Away Goals,Winning Goal,Assists (Intentional),Attempts from Set Pieces,Corners Taken (incl short corners),Foul Won Penalty,Handballs conceded,Hit Woodwork,Left Foot Goals,Substitute On,Successful Crosses & Corners,Successful Crosses open play,Total Big Chances Created,Total Big Chances Missed,Unsuccessful Corners into Box,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Overruns,Successful Corners into Box,Throw Ins to Opposition Player,Unsuccessful lay-offs,Straight Red Cards,Total Red Cards,GK Successful Distribution,Goal Kicks,Last Player Tackle,Penalties Conceded,Headed Goals,Clearances Off the Line,Total Big Chances Saved,Catches,Crosses not Claimed,Drops,GK Unsuccessful Distribution,Goalkeeper Smother,Own Goal Scored,Penalties Faced,Punches,Saves Made,Saves Made from Inside Box,Saves Made from Outside Box,Saves made - caught,Saves made - parried,Direct Setpiece Goals,Penalties Taken,Penalty Goals,Set Pieces Goals,Direct Corner Goals,Second Goal Assists,Penalties Saved,Saves from Penalty,Penalties Off Target,Red Cards - 2nd Yellow,Other Goals
England_Premier_League,2025-2026,Tottenham Hotspur FC,8y8d2dd469x9q0lc7qfyxypyh,B. Austin,Goalkeeper,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England_Premier_League,2025-2026,Tottenham Hotspur FC,3wp8fuk07m1ph1fpmbqe7tf55,R. Bentancur,Midfielder,30,61.0,36.0,25.0,20.0,120.0,3.0,6.0,165.0,4.0,,150.0,72.0,78.0,155.0,192.0,9.0,20.0,1.0,1.0,21.0,17.0,4.0,,1.0,,89.0,36.0,53.0,10.0,22.0,8.0,198.0,1.0,731.0,1.0,65.0,27.0,18.0,100.0,1.0,229.0,4.0,2.0,17.0,8.0,13.0,5.0,18.0,15.0,617.0,295.0,331.0,610.0,15.0,22.0,2.0,1.0,1415.0,14.0,1.0,40.0,15.0,3.0,151.0,739.0,6.0,625.0,37.0,20.0,114.0,966.0,9.0,12.0,19.0,80.0,40.0,95.0,5.0,1.0,0.0,0.0,,,,,,,,3.0,1.0,1.0,1.0,,,6.0,6.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
England_Premier_League,2025-2026,Tottenham Hotspur FC,7pk2vyumro8ku45aar5dw7dw4,L. Bergvall,Midfielder,15,16.0,12.0,4.0,17.0,68.0,1.0,1.0,104.0,,4.0,89.0,46.0,43.0,161.0,75.0,11.0,17.0,2.0,1.0,13.0,9.0,4.0,1.0,1.0,,73.0,34.0,39.0,10.0,2.0,2.0,45.0,3.0,248.0,,49.0,8.0,5.0,34.0,,71.0,4.0,5.0,10.0,10.0,14.0,2.0,13.0,9.0,204.0,126.0,91.0,206.0,8.0,12.0,1.0,8.0,809.0,11.0,1.0,11.0,18.0,5.0,111.0,259.0,9.0,215.0,20.0,25.0,44.0,421.0,6.0,2.0,6.0,51.0,9.0,38.0,2.0,0.0,1.0,0.0,1.0,,,,,,,7.0,2.0,2.0,,,,16.0,16.0,,,22.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
England_Premier_League,2025-2026,Tottenham Hotspur FC,1g15ehziupxnsy1kvl3pqmbc9,Y. Bissouma,Midfielder,8,5.0,3.0,2.0,3.0,19.0,,1.0,23.0,,1.0,20.0,5.0,15.0,31.0,20.0,1.0,3.0,,,5.0,5.0,,,,,15.0,2.0,13.0,10.0,5.0,,37.0,,120.0,,7.0,4.0,3.0,10.0,,46.0,2.0,2.0,2.0,2.0,2.0,,2.0,1.0,109.0,58.0,53.0,110.0,4.0,4.0,,,191.0,1.0,,4.0,1.0,3.0,12.0,122.0,4.0,111.0,8.0,2.0,11.0,157.0,,1.0,1.0,9.0,2.0,10.0,1.0,,,0.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England_Premier_League,2025-2026,Tottenham Hotspur FC,aulvxmbiie751rx4lfrfpmhas,J. Byfield,Defender,67,1.0,,1.0,1.0,1.0,,,1.0,,,1.0,,1.0,3.0,1.0,,1.0,,,,,,,,,,,,10.0,,,2.0,,5.0,,,1.0,,,,1.0,,,,,,,,,4.0,4.0,,4.0,,,,1.0,1.0,,,,,,1.0,5.0,,4.0,,,1.0,7.0,,,,1.0,,1.0,,,,0.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England_Premier_League,2025-2026,Tottenham Hotspur FC,4ezld812zytvbokz97jwycgkp,K. Danso,Defender,4,59.0,20.0,39.0,13.0,26.0,,6.0,114.0,2.0,1.0,88.0,31.0,57.0,48.0,140.0,4.0,13.0,,,12.0,8.0,4.0,,,,29.0,11.0,18.0,10.0,5.0,,146.0,,434.0,1.0,63.0,10.0,4.0,28.0,,135.0,1.0,,8.0,3.0,,2.0,,16.0,381.0,116.0,276.0,376.0,8.0,5.0,,6.0,660.0,4.0,,73.0,5.0,5.0,98.0,447.0,1.0,392.0,13.0,3.0,55.0,616.0,1.0,13.0,29.0,39.0,21.0,26.0,4.0,,,0.0,,,,,,,,5.0,,,,,,5.0,5.0,,,28.0,,,,5.0,5.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
England_Premier_League,2025-2026,Tottenham Hotspur FC,7qy1hiitksyuaa9l0irxg240l,B. Davies,Defender,33,7.0,3.0,4.0,3.0,6.0,,1.0,14.0,,,15.0,6.0,9.0,30.0,29.0,2.0,3.0,,1.0,3.0,2.0,1.0,,1.0,,8.0,3.0,5.0,10.0,1.0,1.0,1.0,,64.0,,5.0,,,5.0,,29.0,,2.0,2.0,2.0,,,,5.0,55.0,28.0,30.0,51.0,1.0,4.0,,11.0,138.0,1.0,1.0,8.0,2.0,,16.0,65.0,2.0,56.0,5.0,3.0,9.0,105.0,,3.0,3.0,6.0,4.0,6.0,1.0,1.0,0.0,0.0,,,,,,,1.0,1.0,2.0,2.0,,,,1.0,1.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England_Premier_League,2025-2026,Tottenham Hotspur FC,4gbk8ka3fv401f8zyslo38fai,R. Drăgușin,Defender,3,4.0,3.0,1.0,3.0,7.0,,,7.0,,,7.0,5.0,2.0,7.0,18.0,,3.0,,,2.0,2.0,,,,,3.0,2.0,1.0,10.0,,,14.0,,42.0,,,1.0,,1.0,,9.0,1.0,,1.0,,,1.0,,1.0,32.0,10.0,28.0,37.0,1.0,,,,96.0,1.0,,5.0,,,14.0,48.0,1.0,38.0,1.0,2.0,10.0,60.0,,5.0,6.0,8.0,3.0,4.0,,,,0.0,,,,,,,,2.0,,,,,,1.0,1.0,,,2.0,,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England_Premier_League,2025-2026,Tottenham Hotspur FC,c83h08n0vnjvfgglyefy03h0p,C. Gallagher,Midfielder,22,7.0,6.0,1.0,3.0,27.0,1.0,,36.0,,1.0,35.0,17.0,18.0,59.0,39.0,1.0,3.0,1.0,,6.0,6.0,,,,,28.0,11.0,17.0,10.0,6.0,2.0,41.0,,139.0,,16.0,6.0,3.0,20.0,,37.0,2.0,1.0,3.0,1.0,5.0,3.0,1.0,6.0,117.0,69.0,54.0,114.0,1.0,4.0,,2.0,265.0,4.0,,1.0,5.0,7.0,40.0,144.0,3.0,120.0,5.0,12.0,24.0,205.0,,2.0,2.0,24.0,5.0,22.0,,,,0.0,1.0,,,,1.0,,,,3.0,3.0,,1.0,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England_Premier_League,2025-2026,Tottenham Hotspur FC,4stnvxbf7enogqej29n3ll0d0,A. Gray,Midfielder,14,13.0,9.0,4.0,14.0,48.0,1.0,2.0,74.0,2.0,1.0,44.0,29.0,15.0,87.0,74.0,7.0,14.0,,1.0,10.0,6.0,4.0,,1.0,,31.0,20.0,11.0,10.0,10.0,3.0,74.0,,274.0,,32.0,12.0,6.0,31.0,,86.0,2.0,3.0,10.0,7.0,3.0,,2.0,11.0,233.0,134.0,108.0,230.0,1.0,7.0,1.0,8.0,753.0,9.0,1.0,22.0,10.0,,63.0,282.0,5.0,241.0,8.0,15.0,41.0,388.0,3.0,9.0,13.0,30.0,13.0,28.0,4.0,0.0,1.0,1.0,,,,,,,,4.0,1.0,1.0,,,,2.0,2.0,1.0,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
