liga,temporada,equipo,id,nombre,posicion,dorsal,Aerial Duels,Aerial Duels lost,Aerial Duels won,Appearances,Backward Passes,Blocked Shots,Blocks,Carries,Clean Sheets,Corners Won,Duels,Duels lost,Duels won,Final Third Touches,Forward Passes,Foul Attempted Tackle,Games Played,Goal Assists,Goals,Goals Conceded,Goals Conceded Inside Box,Goals Conceded Outside Box,Goals Openplay,Goals from Inside Box,Goals from Outside Box,Ground Duels,Ground Duels lost,Ground Duels won,Index,Interceptions,Key Passes (Attempt Assists),Leftside Passes,Offsides,Open Play Passes,Penalty Goals Conceded,Progressive Carries,PutThrough/Blocked Distribution,PutThrough/Blocked Distribution Won,Recoveries,Right Foot Goals,Rightside Passes,Shots Off Target (inc woodwork),Shots On Target ( inc goals ),Starts,Substitute Off,Successful Dribbles,Successful Launches,Successful Lay-offs,Successful Long Passes,Successful Open Play Passes,Successful Passes Opposition Half,Successful Passes Own Half,Successful Short Passes,Tackles Lost,Tackles Won,Through balls,Throw Ins to Own Player,Time Played,Times Tackled,Total Big Chances Scored,Total Clearances,Total Fouls Conceded,Total Fouls Won,Total Losses Of Possession,Total Passes,Total Shots,Total Successful Passes ( Excl Crosses & Corners ) ,Total Tackles,Total Touches In Opposition Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Dribbles,Unsuccessful Launches,Unsuccessful Long Passes,Unsuccessful Passes Opposition Half,Unsuccessful Passes Own Half,Unsuccessful Short Passes,Yellow Cards,Home Goals,Away Goals,Winning Goal,Assists (Intentional),Attempts from Set Pieces,Corners Taken (incl short corners),Foul Won Penalty,Handballs conceded,Hit Woodwork,Left Foot Goals,Substitute On,Successful Crosses & Corners,Successful Crosses open play,Total Big Chances Created,Total Big Chances Missed,Unsuccessful Corners into Box,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Overruns,Successful Corners into Box,Throw Ins to Opposition Player,Unsuccessful lay-offs,Straight Red Cards,Total Red Cards,GK Successful Distribution,Goal Kicks,Last Player Tackle,Penalties Conceded,Headed Goals,Clearances Off the Line,Total Big Chances Saved,Catches,Crosses not Claimed,Drops,GK Unsuccessful Distribution,Goalkeeper Smother,Own Goal Scored,Penalties Faced,Punches,Saves Made,Saves Made from Inside Box,Saves Made from Outside Box,Saves made - caught,Saves made - parried,Direct Setpiece Goals,Penalties Taken,Penalty Goals,Set Pieces Goals,Direct Corner Goals,Second Goal Assists,Penalties Saved,Saves from Penalty,Penalties Off Target,Red Cards - 2nd Yellow,Other Goals
England_Premier_League,2025-2026,Brentford FC,32bvxwhceid2xdcfx6cd8a8d1,K. Ajer,Defender,20,73.0,30.0,43.0,18.0,43.0,2.0,10.0,97.0,4.0,4.0,136.0,61.0,75.0,81.0,173.0,7.0,18.0,1.0,,18.0,17.0,1.0,,,,63.0,31.0,32.0,10.0,13.0,1.0,121.0,,438.0,1.0,54.0,15.0,8.0,34.0,,101.0,4.0,3.0,14.0,5.0,2.0,7.0,,19.0,344.0,110.0,234.0,325.0,10.0,15.0,,18.0,1187.0,10.0,,81.0,16.0,5.0,127.0,438.0,7.0,344.0,25.0,31.0,94.0,669.0,6.0,16.0,39.0,77.0,22.0,55.0,2.0,,,0.0,1.0,,,,1.0,,,4.0,,,1.0,1.0,,5.0,5.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
England_Premier_League,2025-2026,Brentford FC,8gm7yexdkebkw32rabbh2o55g,B. Arthur,Defender,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England_Premier_League,2025-2026,Brentford FC,6axta520v9f4z56hctbq3a4mh,E. Balcombe,Goalkeeper,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England_Premier_League,2025-2026,Brentford FC,37nsr1aii2gwjursfklcwueqc,L. Bentt,Midfielder,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England_Premier_League,2025-2026,Brentford FC,csinkvzxcphggdjeflmo173zd,N. Collins,Defender,22,114.0,49.0,65.0,24.0,86.0,2.0,32.0,267.0,5.0,3.0,182.0,77.0,105.0,101.0,432.0,2.0,24.0,2.0,1.0,31.0,29.0,2.0,,1.0,,68.0,28.0,40.0,10.0,26.0,6.0,388.0,1.0,1150.0,3.0,156.0,13.0,11.0,92.0,,293.0,5.0,5.0,22.0,,3.0,16.0,,69.0,960.0,288.0,710.0,928.0,12.0,10.0,,,2026.0,11.0,1.0,151.0,13.0,15.0,227.0,1199.0,10.0,997.0,22.0,55.0,202.0,1545.0,3.0,53.0,102.0,148.0,54.0,100.0,4.0,0.0,1.0,0.0,1.0,,,1.0,,,,2.0,1.0,1.0,4.0,3.0,,,,,,,,,,21.0,28.0,1.0,1.0,1.0,1.0,,,,,7.0,,1.0,,,,,,,,,,,,,,,,,,
England_Premier_League,2025-2026,Brentford FC,ek0k9s7axizns3vtzyy3z5nu,M. Damsgaard,Midfielder,24,28.0,18.0,10.0,20.0,86.0,3.0,3.0,130.0,1.0,9.0,168.0,99.0,69.0,318.0,209.0,6.0,20.0,3.0,1.0,22.0,22.0,,1.0,1.0,,140.0,81.0,59.0,10.0,14.0,24.0,100.0,3.0,496.0,3.0,79.0,34.0,19.0,80.0,1.0,127.0,5.0,6.0,15.0,11.0,11.0,4.0,17.0,20.0,366.0,286.0,130.0,371.0,14.0,21.0,8.0,4.0,1283.0,44.0,1.0,10.0,11.0,14.0,272.0,522.0,11.0,391.0,35.0,49.0,131.0,843.0,22.0,15.0,31.0,161.0,24.0,100.0,,0.0,1.0,0.0,3.0,1.0,41.0,,1.0,1.0,,5.0,25.0,10.0,8.0,1.0,24.0,54.0,22.0,2.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England_Premier_League,2025-2026,Brentford FC,bs7iyv9ys61m88qh4rvb0tpzp,J. Dasilva,Midfielder,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England_Premier_League,2025-2026,Brentford FC,4csqktt1i4u9zu8fy4u8aok5w,R. Donovan,Midfielder,45,,,,1.0,,1.0,,2.0,,,2.0,1.0,1.0,4.0,,,1.0,,,,,,,,,2.0,1.0,1.0,10.0,,1.0,3.0,,3.0,,2.0,1.0,,1.0,,,,,,,1.0,,,,2.0,2.0,,2.0,,,,,1.0,1.0,,,,,2.0,3.0,,2.0,,1.0,1.0,6.0,,,,1.0,,1.0,,,,0.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England_Premier_League,2025-2026,Brentford FC,351ujd3nfpktc0km8sq400tn8,J. Eyestone,Goalkeeper,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England_Premier_League,2025-2026,Brentford FC,9z6gig2dmhz738cfm9l23nxuc,K. Furo,Forward,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
