equipo,link,logo,cod_equipo,cod_liga,liga
AFC Bournemouth,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/teams/afc-bournemouth/1pse9ta7a45pi2w2grjim70ge,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=1pse9ta7a45pi2w2grjim70ge,1pse9ta7a45pi2w2grjim70ge,51r6ph2woavlbbpk8f29nynf8,premier-league-2025-2026
Arsenal FC,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/teams/arsenal-fc/4dsgumo7d4zupm2ugsvm4zm4d,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=4dsgumo7d4zupm2ugsvm4zm4d,4dsgumo7d4zupm2ugsvm4zm4d,51r6ph2woavlbbpk8f29nynf8,premier-league-2025-2026
Aston Villa FC,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/teams/aston-villa-fc/b496gs285it6bheuikox6z9mj,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=b496gs285it6bheuikox6z9mj,b496gs285it6bheuikox6z9mj,51r6ph2woavlbbpk8f29nynf8,premier-league-2025-2026
Brentford FC,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/teams/brentford-fc/7yx5dqhhphyvfisohikodajhv,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=7yx5dqhhphyvfisohikodajhv,7yx5dqhhphyvfisohikodajhv,51r6ph2woavlbbpk8f29nynf8,premier-league-2025-2026
Brighton & Hove Albion FC,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/teams/brighton-hove-albion-fc/e5p0ehyguld7egzhiedpdnc3w,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=e5p0ehyguld7egzhiedpdnc3w,e5p0ehyguld7egzhiedpdnc3w,51r6ph2woavlbbpk8f29nynf8,premier-league-2025-2026
Burnley FC,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/teams/burnley-fc/64bxxwu2mv2qqlv0monbkj1om,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=64bxxwu2mv2qqlv0monbkj1om,64bxxwu2mv2qqlv0monbkj1om,51r6ph2woavlbbpk8f29nynf8,premier-league-2025-2026
Chelsea FC,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/teams/chelsea-fc/9q0arba2kbnywth8bkxlhgmdr,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=9q0arba2kbnywth8bkxlhgmdr,9q0arba2kbnywth8bkxlhgmdr,51r6ph2woavlbbpk8f29nynf8,premier-league-2025-2026
Crystal Palace FC,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/teams/crystal-palace-fc/1c8m2ko0wxq1asfkuykurdr0y,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=1c8m2ko0wxq1asfkuykurdr0y,1c8m2ko0wxq1asfkuykurdr0y,51r6ph2woavlbbpk8f29nynf8,premier-league-2025-2026
Everton FC,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/teams/everton-fc/ehd2iemqmschhj2ec0vayztzz,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=ehd2iemqmschhj2ec0vayztzz,ehd2iemqmschhj2ec0vayztzz,51r6ph2woavlbbpk8f29nynf8,premier-league-2025-2026
Fulham FC,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/teams/fulham-fc/hzqh7z0mdl3v7gwete66syxp,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=hzqh7z0mdl3v7gwete66syxp,hzqh7z0mdl3v7gwete66syxp,51r6ph2woavlbbpk8f29nynf8,premier-league-2025-2026
