matchday,id,equipo_local,link_local,equipo_visitante,link_visitante,link_partido,date,season,liga,source
Matchday 1,zhs8gg1hvcuqvhkk2itb54pg,Liverpool,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/teams/view/c8h9bw1l82s06h77xxrelzhur,Bournemouth,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/teams/view/1pse9ta7a45pi2w2grjim70ge,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/match/view/zhs8gg1hvcuqvhkk2itb54pg,15/08/2025,2025-2026,England_Premier_League,results
Matchday 1,102dto55773ex3p58gp94ql90,Aston Villa,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/teams/view/b496gs285it6bheuikox6z9mj,Newcastle,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/teams/view/7vn2i2kd35zuetw6b38gw9jsz,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/match/view/102dto55773ex3p58gp94ql90,16/08/2025,2025-2026,England_Premier_League,results
Matchday 1,10jpwd1x2paywtbfatjev182c,Brighton,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/teams/view/e5p0ehyguld7egzhiedpdnc3w,Fulham,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/teams/view/hzqh7z0mdl3v7gwete66syxp,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/match/view/10jpwd1x2paywtbfatjev182c,16/08/2025,2025-2026,England_Premier_League,results
Matchday 1,11i3orjflpi9empra6uuduwpg,Sunderland,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/teams/view/1r3545b2dzan8yqa80gtmcjch,West Ham,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/teams/view/4txjdaqveermfryvbfrr4taf7,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/match/view/11i3orjflpi9empra6uuduwpg,16/08/2025,2025-2026,England_Premier_League,results
Matchday 1,11zdrikme887aispxmcu1ug44,Spurs,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/teams/view/22doj4sgsocqpxw45h607udje,Burnley,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/teams/view/64bxxwu2mv2qqlv0monbkj1om,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/match/view/11zdrikme887aispxmcu1ug44,16/08/2025,2025-2026,England_Premier_League,results
Matchday 1,12gtk3hwf4px68mpjs890rehg,Wolves,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/teams/view/b9si1jn1lfxfund69e9ogcu2n,Man City,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/teams/view/a3nyxabgsqlnqfkeg41m6tnpp,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/match/view/12gtk3hwf4px68mpjs890rehg,16/08/2025,2025-2026,England_Premier_League,results
Matchday 1,110stnyllsj1u0mhdabeuvyfo,Nottm Forest,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/teams/view/1qtaiy11gswx327s0vkibf70n,Brentford,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/teams/view/7yx5dqhhphyvfisohikodajhv,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/match/view/110stnyllsj1u0mhdabeuvyfo,17/08/2025,2025-2026,England_Premier_League,results
Matchday 1,12znl0wq9dni0y2j3xb2dsmj8,Chelsea,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/teams/view/9q0arba2kbnywth8bkxlhgmdr,Crystal Palace,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/teams/view/1c8m2ko0wxq1asfkuykurdr0y,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/match/view/12znl0wq9dni0y2j3xb2dsmj8,17/08/2025,2025-2026,England_Premier_League,results
Matchday 1,13h7obu9sa1vfh3a0esob4jdg,Man Utd,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/teams/view/6eqit8ye8aomdsrrq0hk3v7gh,Arsenal,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/teams/view/4dsgumo7d4zupm2ugsvm4zm4d,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/match/view/13h7obu9sa1vfh3a0esob4jdg,17/08/2025,2025-2026,England_Premier_League,results
Matchday 1,13ylro8dy443m52qxwrxm9zis,Leeds,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/teams/view/48gk2hpqtsl6p9sx9kjhaydq4,Everton,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/teams/view/ehd2iemqmschhj2ec0vayztzz,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/match/view/13ylro8dy443m52qxwrxm9zis,18/08/2025,2025-2026,England_Premier_League,results
