liga,temporada,equipo,id,nombre,posicion,dorsal,Aerial Duels,Aerial Duels lost,Aerial Duels won,Appearances,Backward Passes,Blocked Shots,Blocks,Carries,Clean Sheets,Corners Won,Duels,Duels lost,Duels won,Final Third Touches,Forward Passes,Foul Attempted Tackle,Games Played,Goal Assists,Goals,Goals Conceded,Goals Conceded Inside Box,Goals Conceded Outside Box,Goals Openplay,Goals from Inside Box,Goals from Outside Box,Ground Duels,Ground Duels lost,Ground Duels won,Index,Interceptions,Key Passes (Attempt Assists),Leftside Passes,Offsides,Open Play Passes,Penalty Goals Conceded,Progressive Carries,PutThrough/Blocked Distribution,PutThrough/Blocked Distribution Won,Recoveries,Right Foot Goals,Rightside Passes,Shots Off Target (inc woodwork),Shots On Target ( inc goals ),Starts,Substitute Off,Successful Dribbles,Successful Launches,Successful Lay-offs,Successful Long Passes,Successful Open Play Passes,Successful Passes Opposition Half,Successful Passes Own Half,Successful Short Passes,Tackles Lost,Tackles Won,Through balls,Throw Ins to Own Player,Time Played,Times Tackled,Total Big Chances Scored,Total Clearances,Total Fouls Conceded,Total Fouls Won,Total Losses Of Possession,Total Passes,Total Shots,Total Successful Passes ( Excl Crosses & Corners ) ,Total Tackles,Total Touches In Opposition Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Dribbles,Unsuccessful Launches,Unsuccessful Long Passes,Unsuccessful Passes Opposition Half,Unsuccessful Passes Own Half,Unsuccessful Short Passes,Yellow Cards,Home Goals,Away Goals,Winning Goal,Assists (Intentional),Attempts from Set Pieces,Corners Taken (incl short corners),Foul Won Penalty,Handballs conceded,Hit Woodwork,Left Foot Goals,Substitute On,Successful Crosses & Corners,Successful Crosses open play,Total Big Chances Created,Total Big Chances Missed,Unsuccessful Corners into Box,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Overruns,Successful Corners into Box,Throw Ins to Opposition Player,Unsuccessful lay-offs,Straight Red Cards,Total Red Cards,GK Successful Distribution,Goal Kicks,Last Player Tackle,Penalties Conceded,Headed Goals,Clearances Off the Line,Total Big Chances Saved,Catches,Crosses not Claimed,Drops,GK Unsuccessful Distribution,Goalkeeper Smother,Own Goal Scored,Penalties Faced,Punches,Saves Made,Saves Made from Inside Box,Saves Made from Outside Box,Saves made - caught,Saves made - parried,Direct Setpiece Goals,Penalties Taken,Penalty Goals,Set Pieces Goals,Direct Corner Goals,Second Goal Assists,Penalties Saved,Saves from Penalty,Penalties Off Target,Red Cards - 2nd Yellow,Other Goals
England_Premier_League,2025-2026,Newcastle United FC,3vy07in2g4tx04vyqlc8bni1g,Adam Harrison,Goalkeeper,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England_Premier_League,2025-2026,Newcastle United FC,d8saak6mtu2gipcatzzwsyqdw,S. Alabi,Midfielder,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England_Premier_League,2025-2026,Newcastle United FC,en2qiiaubgikr1aeklrzkku8k,A. Murphy,Defender,37,,,,1.0,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,10.0,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,1.0,,,1.0,,,,1.0,,1.0,,,,2.0,,,,,,,,,,0.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England_Premier_League,2025-2026,Newcastle United FC,18paf5a7rfe4kutxjl4cwd695,H. Barnes,Midfielder,11,9.0,5.0,4.0,23.0,89.0,13.0,,169.0,2.0,18.0,98.0,61.0,37.0,348.0,84.0,2.0,23.0,,5.0,17.0,13.0,4.0,3.0,4.0,1.0,89.0,56.0,33.0,10.0,1.0,15.0,65.0,2.0,338.0,1.0,94.0,23.0,7.0,42.0,3.0,101.0,9.0,15.0,12.0,9.0,11.0,1.0,14.0,5.0,270.0,218.0,65.0,266.0,4.0,4.0,2.0,2.0,1202.0,39.0,2.0,12.0,9.0,14.0,187.0,339.0,24.0,271.0,8.0,85.0,68.0,582.0,22.0,2.0,4.0,99.0,11.0,64.0,,4.0,1.0,2.0,,,1.0,,1.0,1.0,2.0,11.0,12.0,12.0,3.0,8.0,1.0,42.0,41.0,6.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
England_Premier_League,2025-2026,Newcastle United FC,4jwkz8almo2997hvp09zl0p9l,S. Botman,Defender,4,56.0,23.0,33.0,13.0,22.0,,8.0,133.0,3.0,1.0,80.0,32.0,48.0,29.0,215.0,3.0,13.0,1.0,,13.0,10.0,3.0,,,,24.0,9.0,15.0,10.0,8.0,4.0,136.0,,569.0,1.0,57.0,6.0,3.0,53.0,,219.0,1.0,3.0,10.0,3.0,1.0,4.0,,26.0,501.0,137.0,385.0,496.0,3.0,6.0,,,883.0,3.0,,62.0,7.0,5.0,82.0,592.0,4.0,522.0,9.0,18.0,70.0,731.0,,14.0,26.0,40.0,31.0,44.0,1.0,,,0.0,,,,,1.0,,,3.0,,,2.0,,,1.0,1.0,,,,,,,2.0,3.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,
England_Premier_League,2025-2026,Newcastle United FC,72m84nwa6dshu3ibmy13dz5rd,Bruno Guimarães,Midfielder,39,31.0,20.0,11.0,21.0,171.0,5.0,1.0,317.0,6.0,12.0,234.0,119.0,115.0,483.0,328.0,14.0,21.0,3.0,8.0,27.0,22.0,5.0,4.0,5.0,3.0,203.0,99.0,104.0,10.0,11.0,29.0,277.0,1.0,1043.0,3.0,154.0,37.0,15.0,95.0,5.0,308.0,10.0,16.0,20.0,3.0,13.0,,33.0,59.0,904.0,603.0,350.0,883.0,14.0,31.0,18.0,5.0,1839.0,53.0,4.0,26.0,29.0,46.0,285.0,1084.0,26.0,942.0,45.0,41.0,142.0,1495.0,22.0,12.0,34.0,153.0,25.0,108.0,4.0,7.0,1.0,3.0,2.0,1.0,20.0,1.0,,2.0,1.0,1.0,11.0,7.0,5.0,3.0,13.0,36.0,22.0,1.0,4.0,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,1.0,,,,,
England_Premier_League,2025-2026,Newcastle United FC,6f1ljb0an6d0g4nbap6xgxsyd,D. Burn,Defender,33,105.0,44.0,61.0,16.0,58.0,2.0,6.0,108.0,5.0,4.0,177.0,87.0,90.0,115.0,289.0,11.0,16.0,2.0,,19.0,16.0,3.0,,,,72.0,43.0,29.0,10.0,16.0,3.0,95.0,,635.0,,56.0,24.0,7.0,48.0,,209.0,1.0,,16.0,2.0,2.0,10.0,1.0,17.0,489.0,172.0,334.0,488.0,6.0,14.0,,41.0,1348.0,5.0,,93.0,26.0,8.0,196.0,651.0,1.0,505.0,20.0,29.0,146.0,925.0,,30.0,51.0,111.0,43.0,95.0,4.0,,,0.0,,,,1.0,,,,,1.0,1.0,,,,8.0,8.0,,,24.0,,,1.0,3.0,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
England_Premier_League,2025-2026,Newcastle United FC,5wengf05apke7rv3kms186j56,A. Elanga,Forward,20,21.0,15.0,6.0,20.0,84.0,3.0,,114.0,,15.0,94.0,59.0,35.0,264.0,73.0,2.0,20.0,1.0,,18.0,17.0,1.0,,,,73.0,44.0,29.0,10.0,1.0,7.0,91.0,1.0,270.0,2.0,72.0,15.0,4.0,17.0,,24.0,4.0,3.0,8.0,6.0,6.0,,5.0,2.0,215.0,167.0,58.0,215.0,1.0,8.0,2.0,7.0,802.0,34.0,,4.0,3.0,14.0,163.0,272.0,7.0,217.0,9.0,31.0,55.0,466.0,19.0,1.0,3.0,89.0,12.0,52.0,,,,0.0,1.0,,6.0,,,,,12.0,8.0,8.0,1.0,1.0,5.0,46.0,41.0,5.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England_Premier_League,2025-2026,Newcastle United FC,2uffjxmtrrp2pjzvwebzy19lh,M. Gillespie,Goalkeeper,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England_Premier_League,2025-2026,Newcastle United FC,8mjj0wgufggpc1ai2dk21h90p,A. Gordon,Forward,10,17.0,12.0,5.0,19.0,105.0,7.0,,213.0,1.0,15.0,148.0,80.0,68.0,370.0,109.0,6.0,19.0,1.0,3.0,20.0,15.0,5.0,1.0,3.0,,131.0,68.0,63.0,10.0,2.0,19.0,32.0,2.0,388.0,1.0,120.0,19.0,13.0,39.0,3.0,147.0,12.0,11.0,17.0,13.0,25.0,2.0,8.0,14.0,316.0,249.0,87.0,307.0,5.0,8.0,3.0,10.0,1227.0,46.0,2.0,9.0,12.0,25.0,205.0,393.0,23.0,321.0,13.0,56.0,72.0,701.0,30.0,2.0,7.0,111.0,12.0,65.0,3.0,2.0,1.0,1.0,1.0,,3.0,,,2.0,,2.0,15.0,14.0,5.0,7.0,2.0,51.0,49.0,4.0,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,
