liga,temporada,equipo,id,nombre,posicion,dorsal,Aerial Duels,Aerial Duels lost,Aerial Duels won,Appearances,Backward Passes,Blocked Shots,Blocks,Carries,Clean Sheets,Corners Won,Duels,Duels lost,Duels won,Final Third Touches,Forward Passes,Foul Attempted Tackle,Games Played,Goal Assists,Goals,Goals Conceded,Goals Conceded Inside Box,Goals Conceded Outside Box,Goals Openplay,Goals from Inside Box,Goals from Outside Box,Ground Duels,Ground Duels lost,Ground Duels won,Index,Interceptions,Key Passes (Attempt Assists),Leftside Passes,Offsides,Open Play Passes,Penalty Goals Conceded,Progressive Carries,PutThrough/Blocked Distribution,PutThrough/Blocked Distribution Won,Recoveries,Right Foot Goals,Rightside Passes,Shots Off Target (inc woodwork),Shots On Target ( inc goals ),Starts,Substitute Off,Successful Dribbles,Successful Launches,Successful Lay-offs,Successful Long Passes,Successful Open Play Passes,Successful Passes Opposition Half,Successful Passes Own Half,Successful Short Passes,Tackles Lost,Tackles Won,Through balls,Throw Ins to Own Player,Time Played,Times Tackled,Total Big Chances Scored,Total Clearances,Total Fouls Conceded,Total Fouls Won,Total Losses Of Possession,Total Passes,Total Shots,Total Successful Passes ( Excl Crosses & Corners ) ,Total Tackles,Total Touches In Opposition Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Dribbles,Unsuccessful Launches,Unsuccessful Long Passes,Unsuccessful Passes Opposition Half,Unsuccessful Passes Own Half,Unsuccessful Short Passes,Yellow Cards,Home Goals,Away Goals,Winning Goal,Assists (Intentional),Attempts from Set Pieces,Corners Taken (incl short corners),Foul Won Penalty,Handballs conceded,Hit Woodwork,Left Foot Goals,Substitute On,Successful Crosses & Corners,Successful Crosses open play,Total Big Chances Created,Total Big Chances Missed,Unsuccessful Corners into Box,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Overruns,Successful Corners into Box,Throw Ins to Opposition Player,Unsuccessful lay-offs,Straight Red Cards,Total Red Cards,GK Successful Distribution,Goal Kicks,Last Player Tackle,Penalties Conceded,Headed Goals,Clearances Off the Line,Total Big Chances Saved,Catches,Crosses not Claimed,Drops,GK Unsuccessful Distribution,Goalkeeper Smother,Own Goal Scored,Penalties Faced,Punches,Saves Made,Saves Made from Inside Box,Saves Made from Outside Box,Saves made - caught,Saves made - parried,Direct Setpiece Goals,Penalties Taken,Penalty Goals,Set Pieces Goals,Direct Corner Goals,Second Goal Assists,Penalties Saved,Saves from Penalty,Penalties Off Target,Red Cards - 2nd Yellow,Other Goals
England_Premier_League,2025-2026,Fulham FC,by69yfssih7p5h9tbslh5pvro,S. Amissah,Defender,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England_Premier_League,2025-2026,Fulham FC,5wkso3mls5ulkilr0xzfix1p1,J. Andersen,Defender,5,77.0,22.0,55.0,23.0,94.0,2.0,12.0,414.0,5.0,5.0,160.0,62.0,98.0,83.0,583.0,10.0,23.0,1.0,,32.0,29.0,3.0,,,,83.0,40.0,43.0,10.0,22.0,4.0,695.0,,1607.0,2.0,251.0,11.0,5.0,85.0,,320.0,6.0,3.0,23.0,1.0,6.0,16.0,1.0,129.0,1389.0,483.0,984.0,1334.0,13.0,16.0,,18.0,2022.0,3.0,,172.0,24.0,10.0,257.0,1692.0,9.0,1463.0,29.0,29.0,229.0,2042.0,,65.0,142.0,178.0,59.0,87.0,5.0,,,0.0,1.0,,,,,,,,4.0,4.0,3.0,2.0,,8.0,8.0,,,,,,,10.0,11.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
England_Premier_League,2025-2026,Fulham FC,4jqgl7x5ewke1u0sy2cbkqfhl,C. Bassey,Defender,3,39.0,19.0,20.0,17.0,72.0,2.0,13.0,274.0,3.0,1.0,132.0,54.0,78.0,52.0,300.0,4.0,17.0,,1.0,26.0,23.0,3.0,,1.0,,93.0,35.0,58.0,10.0,10.0,4.0,188.0,,890.0,2.0,160.0,21.0,9.0,67.0,,385.0,2.0,1.0,15.0,,7.0,4.0,1.0,29.0,781.0,260.0,577.0,805.0,16.0,17.0,,19.0,1362.0,15.0,1.0,66.0,15.0,18.0,143.0,945.0,3.0,834.0,33.0,7.0,111.0,1174.0,5.0,18.0,47.0,76.0,38.0,64.0,3.0,0.0,1.0,0.0,,,,,,,,2.0,3.0,3.0,,,,3.0,3.0,,,2.0,,,,27.0,27.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
England_Premier_League,2025-2026,Fulham FC,doldjju9tkhyzz6mj9deenobt,S. Benda,Goalkeeper,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England_Premier_League,2025-2026,Fulham FC,6k66e9gxbu8s7zoxb7mrtwcmh,S. Berge,Midfielder,16,65.0,22.0,43.0,24.0,206.0,3.0,14.0,317.0,3.0,4.0,164.0,71.0,93.0,177.0,269.0,8.0,24.0,1.0,,33.0,30.0,3.0,,,,99.0,49.0,50.0,10.0,17.0,14.0,342.0,,1182.0,2.0,144.0,30.0,15.0,89.0,,378.0,,3.0,23.0,5.0,6.0,2.0,30.0,39.0,1067.0,515.0,568.0,1041.0,10.0,28.0,3.0,4.0,1995.0,21.0,,37.0,22.0,6.0,161.0,1195.0,3.0,1080.0,38.0,12.0,115.0,1429.0,9.0,12.0,18.0,74.0,48.0,97.0,4.0,,,0.0,1.0,,,,,,,1.0,3.0,3.0,3.0,1.0,,7.0,7.0,,,,,,,,,,1.0,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,
England_Premier_League,2025-2026,Fulham FC,58de7rbubnxjraen49dxpaqne,O. Bobb,Midfielder,14,8.0,5.0,3.0,9.0,81.0,3.0,,63.0,1.0,4.0,67.0,31.0,36.0,179.0,25.0,3.0,9.0,1.0,,5.0,4.0,1.0,,,,59.0,26.0,33.0,10.0,3.0,9.0,86.0,,205.0,1.0,38.0,13.0,9.0,18.0,,15.0,1.0,,5.0,3.0,16.0,,13.0,2.0,186.0,145.0,45.0,186.0,3.0,5.0,1.0,5.0,467.0,18.0,,,5.0,9.0,54.0,207.0,1.0,188.0,8.0,38.0,19.0,311.0,10.0,1.0,1.0,16.0,6.0,18.0,1.0,,,0.0,1.0,,,,,,,4.0,2.0,2.0,,1.0,,3.0,3.0,3.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England_Premier_League,2025-2026,Fulham FC,cgvp2cli2gi4cnyl62kt80r11,T. Cairney,Midfielder,10,11.0,3.0,8.0,16.0,87.0,5.0,1.0,102.0,,3.0,42.0,21.0,21.0,110.0,93.0,3.0,16.0,,1.0,9.0,8.0,1.0,1.0,,1.0,31.0,18.0,13.0,10.0,2.0,4.0,112.0,,386.0,,49.0,3.0,2.0,24.0,,110.0,5.0,1.0,3.0,3.0,2.0,1.0,7.0,14.0,358.0,183.0,191.0,359.0,1.0,2.0,2.0,,457.0,6.0,,4.0,5.0,8.0,48.0,402.0,6.0,373.0,3.0,10.0,29.0,465.0,4.0,2.0,5.0,25.0,7.0,24.0,2.0,0.0,1.0,0.0,,,2.0,,,,1.0,13.0,1.0,1.0,,,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England_Premier_League,2025-2026,Fulham FC,p87gxg8kc9ta6iipqt5fxmtx,T. Castagne,Defender,21,39.0,23.0,16.0,19.0,93.0,3.0,4.0,83.0,,3.0,82.0,40.0,42.0,195.0,136.0,6.0,19.0,,,22.0,20.0,2.0,,,,43.0,17.0,26.0,10.0,22.0,7.0,168.0,,437.0,1.0,48.0,24.0,12.0,31.0,,43.0,,3.0,11.0,2.0,1.0,5.0,2.0,19.0,372.0,174.0,208.0,356.0,9.0,13.0,,79.0,1036.0,3.0,,44.0,10.0,3.0,109.0,440.0,3.0,375.0,22.0,19.0,65.0,700.0,2.0,9.0,14.0,61.0,28.0,51.0,3.0,,,0.0,,,,,,,,8.0,7.0,7.0,,1.0,,24.0,24.0,1.0,,3.0,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
England_Premier_League,2025-2026,Fulham FC,3bm08rp9rgzh6cjhk0picxs6h,S. Chukwueze,Forward,19,7.0,4.0,3.0,11.0,51.0,3.0,,108.0,,4.0,62.0,30.0,32.0,174.0,39.0,1.0,11.0,4.0,3.0,12.0,11.0,1.0,2.0,3.0,,55.0,26.0,29.0,10.0,3.0,9.0,49.0,2.0,201.0,,54.0,16.0,4.0,29.0,,62.0,6.0,4.0,4.0,3.0,16.0,,8.0,9.0,148.0,86.0,64.0,139.0,1.0,3.0,2.0,2.0,505.0,22.0,1.0,5.0,4.0,9.0,103.0,201.0,10.0,148.0,4.0,38.0,53.0,323.0,12.0,1.0,4.0,59.0,8.0,49.0,,3.0,0.0,0.0,3.0,,1.0,,,2.0,3.0,7.0,2.0,2.0,3.0,1.0,1.0,14.0,13.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England_Premier_League,2025-2026,Fulham FC,aza9jho12wrfa3oczxoj670mh,Jorge Cuenca,Defender,15,26.0,11.0,15.0,11.0,48.0,,8.0,118.0,2.0,,59.0,26.0,33.0,15.0,199.0,3.0,11.0,,,9.0,9.0,,,,,33.0,15.0,18.0,10.0,12.0,3.0,104.0,,521.0,1.0,74.0,11.0,5.0,36.0,,208.0,1.0,,10.0,4.0,2.0,4.0,,22.0,455.0,130.0,364.0,471.0,6.0,9.0,1.0,1.0,841.0,3.0,,65.0,8.0,1.0,74.0,559.0,1.0,493.0,15.0,6.0,66.0,690.0,3.0,24.0,42.0,47.0,20.0,24.0,4.0,,,0.0,,,,,,,,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,,,,29.0,29.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
