liga,temporada,equipo,id,nombre,posicion,dorsal,Aerial Duels,Aerial Duels lost,Aerial Duels won,Appearances,Backward Passes,Blocked Shots,Blocks,Carries,Clean Sheets,Corners Won,Duels,Duels lost,Duels won,Final Third Touches,Forward Passes,Foul Attempted Tackle,Games Played,Goal Assists,Goals,Goals Conceded,Goals Conceded Inside Box,Goals Conceded Outside Box,Goals Openplay,Goals from Inside Box,Goals from Outside Box,Ground Duels,Ground Duels lost,Ground Duels won,Index,Interceptions,Key Passes (Attempt Assists),Leftside Passes,Offsides,Open Play Passes,Penalty Goals Conceded,Progressive Carries,PutThrough/Blocked Distribution,PutThrough/Blocked Distribution Won,Recoveries,Right Foot Goals,Rightside Passes,Shots Off Target (inc woodwork),Shots On Target ( inc goals ),Starts,Substitute Off,Successful Dribbles,Successful Launches,Successful Lay-offs,Successful Long Passes,Successful Open Play Passes,Successful Passes Opposition Half,Successful Passes Own Half,Successful Short Passes,Tackles Lost,Tackles Won,Through balls,Throw Ins to Own Player,Time Played,Times Tackled,Total Big Chances Scored,Total Clearances,Total Fouls Conceded,Total Fouls Won,Total Losses Of Possession,Total Passes,Total Shots,Total Successful Passes ( Excl Crosses & Corners ) ,Total Tackles,Total Touches In Opposition Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Dribbles,Unsuccessful Launches,Unsuccessful Long Passes,Unsuccessful Passes Opposition Half,Unsuccessful Passes Own Half,Unsuccessful Short Passes,Yellow Cards,Home Goals,Away Goals,Winning Goal,Assists (Intentional),Attempts from Set Pieces,Corners Taken (incl short corners),Foul Won Penalty,Handballs conceded,Hit Woodwork,Left Foot Goals,Substitute On,Successful Crosses & Corners,Successful Crosses open play,Total Big Chances Created,Total Big Chances Missed,Unsuccessful Corners into Box,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Overruns,Successful Corners into Box,Throw Ins to Opposition Player,Unsuccessful lay-offs,Straight Red Cards,Total Red Cards,GK Successful Distribution,Goal Kicks,Last Player Tackle,Penalties Conceded,Headed Goals,Clearances Off the Line,Total Big Chances Saved,Catches,Crosses not Claimed,Drops,GK Unsuccessful Distribution,Goalkeeper Smother,Own Goal Scored,Penalties Faced,Punches,Saves Made,Saves Made from Inside Box,Saves Made from Outside Box,Saves made - caught,Saves made - parried,Direct Setpiece Goals,Penalties Taken,Penalty Goals,Set Pieces Goals,Direct Corner Goals,Second Goal Assists,Penalties Saved,Saves from Penalty,Penalties Off Target,Red Cards - 2nd Yellow,Other Goals
England_Premier_League,2025-2026,West Ham United FC,3o0zpl9cnmna2hyk595ja0xrd,N. Aguerd,Defender,5,7.0,3.0,4.0,2.0,10.0,,2.0,29.0,,1.0,10.0,3.0,7.0,10.0,44.0,,2.0,,,8.0,8.0,,,,,3.0,,3.0,10.0,1.0,,9.0,,111.0,,14.0,3.0,2.0,8.0,,52.0,2.0,,2.0,,1.0,1.0,,6.0,100.0,42.0,62.0,98.0,1.0,,,2.0,180.0,,,11.0,,1.0,14.0,115.0,2.0,104.0,1.0,2.0,11.0,145.0,,4.0,7.0,12.0,1.0,4.0,,,,0.0,,,,,,,,,,,,,,2.0,2.0,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England_Premier_League,2025-2026,West Ham United FC,9eaevg9okpy4gcm6yofg7vbv9,A. Areola,Goalkeeper,23,7.0,2.0,5.0,20.0,,,,32.0,,1.0,9.0,3.0,6.0,,425.0,1.0,20.0,1.0,,37.0,34.0,3.0,,,,2.0,1.0,1.0,10.0,1.0,,57.0,,293.0,5.0,14.0,,,142.0,,58.0,,,20.0,,,64.0,,127.0,156.0,95.0,157.0,125.0,,,,,1800.0,,,29.0,1.0,1.0,294.0,540.0,,252.0,,,288.0,762.0,,170.0,287.0,254.0,34.0,1.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,156.0,164.0,,1.0,,,15.0,15.0,,,99.0,3.0,,6.0,21.0,77.0,51.0,21.0,,25.0,,,,,,,,,,,
England_Premier_League,2025-2026,West Ham United FC,d542ijpf3j9hdrtt1mfe6vwlx,J. Bowen,Forward,20,54.0,34.0,20.0,24.0,146.0,21.0,3.0,245.0,1.0,33.0,267.0,146.0,121.0,512.0,118.0,7.0,24.0,2.0,8.0,47.0,44.0,3.0,6.0,6.0,2.0,213.0,112.0,101.0,10.0,15.0,15.0,179.0,13.0,465.0,5.0,168.0,47.0,13.0,94.0,1.0,48.0,14.0,23.0,24.0,1.0,36.0,,36.0,9.0,346.0,269.0,113.0,363.0,12.0,17.0,5.0,3.0,2151.0,89.0,3.0,19.0,12.0,36.0,335.0,491.0,37.0,372.0,29.0,117.0,119.0,991.0,40.0,8.0,17.0,159.0,23.0,102.0,4.0,4.0,4.0,2.0,2.0,1.0,16.0,,,1.0,6.0,,10.0,8.0,4.0,5.0,14.0,63.0,49.0,5.0,2.0,1.0,4.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,
England_Premier_League,2025-2026,West Ham United FC,27hwtukeqxh91ch1f3qr1it49,V. Castellanos,Forward,11,21.0,13.0,8.0,4.0,17.0,3.0,,10.0,,1.0,37.0,23.0,14.0,50.0,16.0,4.0,4.0,,,6.0,6.0,,,,,16.0,10.0,6.0,10.0,1.0,4.0,11.0,2.0,56.0,1.0,4.0,4.0,2.0,10.0,,13.0,6.0,5.0,4.0,3.0,,,2.0,,36.0,27.0,10.0,37.0,,2.0,,,330.0,3.0,,5.0,7.0,4.0,36.0,57.0,11.0,37.0,2.0,21.0,20.0,105.0,2.0,1.0,1.0,16.0,5.0,19.0,2.0,,,0.0,,,,,,,,,,,,4.0,,1.0,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England_Premier_League,2025-2026,West Ham United FC,8azqsh9x69noyyxe508disyz8,G. Earthy,Midfielder,40,,,,1.0,2.0,,,1.0,,,,,,2.0,,,1.0,,,1.0,1.0,,,,,,,,10.0,,,1.0,,3.0,,1.0,,,,,,,,,,,,1.0,,3.0,1.0,2.0,3.0,,,,,8.0,,,,,,,3.0,,3.0,,1.0,,3.0,,,,,,,,,,0.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England_Premier_League,2025-2026,West Ham United FC,18ibccymsaxom7wdnfz0tevx0,E. Diouf,Defender,12,45.0,24.0,21.0,18.0,124.0,3.0,6.0,115.0,1.0,14.0,145.0,75.0,70.0,236.0,210.0,8.0,18.0,3.0,,32.0,30.0,2.0,,,,100.0,51.0,49.0,10.0,16.0,6.0,10.0,,498.0,2.0,71.0,28.0,8.0,58.0,,159.0,7.0,2.0,16.0,2.0,12.0,10.0,1.0,29.0,374.0,206.0,181.0,348.0,13.0,10.0,3.0,102.0,1489.0,27.0,,77.0,17.0,14.0,257.0,503.0,9.0,377.0,23.0,14.0,126.0,937.0,14.0,35.0,56.0,135.0,38.0,70.0,3.0,,,0.0,2.0,,7.0,,1.0,,,2.0,10.0,7.0,1.0,,5.0,47.0,42.0,,2.0,24.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
England_Premier_League,2025-2026,West Ham United FC,eagrmpe9ft8daly57l1ja8lhx,Ł. Fabiański,Goalkeeper,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England_Premier_League,2025-2026,West Ham United FC,cjq9g6zgcxk1ceo2xzpe1qnyt,N. Füllkrug,Forward,11,50.0,32.0,18.0,8.0,28.0,2.0,1.0,7.0,,,69.0,48.0,21.0,61.0,18.0,2.0,8.0,,,11.0,11.0,,,,,19.0,16.0,3.0,10.0,2.0,7.0,24.0,3.0,93.0,,3.0,7.0,2.0,10.0,,23.0,4.0,3.0,5.0,4.0,,,8.0,1.0,57.0,38.0,19.0,56.0,1.0,1.0,,1.0,408.0,6.0,,4.0,11.0,1.0,51.0,93.0,7.0,57.0,2.0,23.0,36.0,144.0,,,1.0,34.0,2.0,35.0,,,,0.0,,,,,,,,3.0,,,,1.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England_Premier_League,2025-2026,West Ham United FC,76h9zbckc2a2dais5jggfprf8,A. Golambeckis,Defender,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England_Premier_League,2025-2026,West Ham United FC,eobf6cct1dpm7bdqyatg6ejmx,M. Hermansen,Goalkeeper,1,3.0,,3.0,4.0,,,,28.0,1.0,,3.0,,3.0,,84.0,,4.0,,,11.0,11.0,,,,,,,,10.0,,,31.0,,111.0,,7.0,,,27.0,,23.0,,,4.0,,,12.0,,22.0,77.0,20.0,65.0,63.0,,,,,360.0,,,7.0,,,53.0,138.0,,85.0,,,53.0,178.0,,40.0,53.0,42.0,11.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,25.0,16.0,,,,,4.0,5.0,,,10.0,,,,4.0,9.0,9.0,,,2.0,,,,,,,,,,,
