liga,temporada,equipo,id,nombre,posicion,dorsal,Aerial Duels,Aerial Duels lost,Aerial Duels won,Appearances,Backward Passes,Blocked Shots,Blocks,Carries,Clean Sheets,Corners Won,Duels,Duels lost,Duels won,Final Third Touches,Forward Passes,Foul Attempted Tackle,Games Played,Goal Assists,Goals,Goals Conceded,Goals Conceded Inside Box,Goals Conceded Outside Box,Goals Openplay,Goals from Inside Box,Goals from Outside Box,Ground Duels,Ground Duels lost,Ground Duels won,Index,Interceptions,Key Passes (Attempt Assists),Leftside Passes,Offsides,Open Play Passes,Penalty Goals Conceded,Progressive Carries,PutThrough/Blocked Distribution,PutThrough/Blocked Distribution Won,Recoveries,Right Foot Goals,Rightside Passes,Shots Off Target (inc woodwork),Shots On Target ( inc goals ),Starts,Substitute Off,Successful Dribbles,Successful Launches,Successful Lay-offs,Successful Long Passes,Successful Open Play Passes,Successful Passes Opposition Half,Successful Passes Own Half,Successful Short Passes,Tackles Lost,Tackles Won,Through balls,Throw Ins to Own Player,Time Played,Times Tackled,Total Big Chances Scored,Total Clearances,Total Fouls Conceded,Total Fouls Won,Total Losses Of Possession,Total Passes,Total Shots,Total Successful Passes ( Excl Crosses & Corners ) ,Total Tackles,Total Touches In Opposition Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Dribbles,Unsuccessful Launches,Unsuccessful Long Passes,Unsuccessful Passes Opposition Half,Unsuccessful Passes Own Half,Unsuccessful Short Passes,Yellow Cards,Home Goals,Away Goals,Winning Goal,Assists (Intentional),Attempts from Set Pieces,Corners Taken (incl short corners),Foul Won Penalty,Handballs conceded,Hit Woodwork,Left Foot Goals,Substitute On,Successful Crosses & Corners,Successful Crosses open play,Total Big Chances Created,Total Big Chances Missed,Unsuccessful Corners into Box,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Overruns,Successful Corners into Box,Throw Ins to Opposition Player,Unsuccessful lay-offs,Straight Red Cards,Total Red Cards,GK Successful Distribution,Goal Kicks,Last Player Tackle,Penalties Conceded,Headed Goals,Clearances Off the Line,Total Big Chances Saved,Catches,Crosses not Claimed,Drops,GK Unsuccessful Distribution,Goalkeeper Smother,Own Goal Scored,Penalties Faced,Punches,Saves Made,Saves Made from Inside Box,Saves Made from Outside Box,Saves made - caught,Saves made - parried,Direct Setpiece Goals,Penalties Taken,Penalty Goals,Set Pieces Goals,Direct Corner Goals,Second Goal Assists,Penalties Saved,Saves from Penalty,Penalties Off Target,Red Cards - 2nd Yellow,Other Goals
England_Premier_League,2025-2026,Aston Villa FC,363nsa82dww242zeo09wpcslx,T. Abraham,Forward,18,5.0,3.0,2.0,1.0,4.0,2.0,,3.0,,1.0,5.0,3.0,2.0,13.0,1.0,,1.0,,,1.0,1.0,,,,,,,,,,1.0,5.0,,12.0,,,1.0,,2.0,,3.0,,1.0,1.0,,,,1.0,,6.0,4.0,3.0,7.0,,,,,90.0,,,1.0,,,7.0,13.0,1.0,7.0,,8.0,6.0,21.0,,,,4.0,2.0,6.0,,,,0.0,,,,,,,,,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England_Premier_League,2025-2026,Aston Villa FC,7x5very8ubtscmpfk4ghfpwyc,Alysson,Forward,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England_Premier_League,2025-2026,Aston Villa FC,4jyrztlaueae7eg18kuvxa489,L. Bailey,Midfielder,31,2.0,2.0,,2.0,17.0,2.0,,17.0,,3.0,9.0,7.0,2.0,42.0,10.0,1.0,2.0,,,,,,,,,7.0,5.0,2.0,,,3.0,11.0,,38.0,,10.0,,,8.0,,3.0,1.0,,,,,,,,33.0,30.0,6.0,36.0,1.0,1.0,1.0,,76.0,4.0,,,1.0,,17.0,41.0,1.0,36.0,2.0,8.0,5.0,58.0,4.0,,,8.0,1.0,5.0,,,,0.0,,,4.0,,,,,2.0,,,,,1.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England_Premier_League,2025-2026,Aston Villa FC,dxeju5zcb6j8etdgwq0kweor9,R. Barkley,Midfielder,6,4.0,2.0,2.0,7.0,11.0,,1.0,19.0,,,16.0,10.0,6.0,17.0,15.0,,7.0,,1.0,,,,,1.0,,12.0,8.0,4.0,,,2.0,14.0,,50.0,,14.0,,,10.0,,11.0,2.0,2.0,,1.0,,,4.0,3.0,43.0,26.0,18.0,41.0,1.0,2.0,2.0,,115.0,4.0,,1.0,1.0,1.0,13.0,51.0,4.0,44.0,3.0,5.0,7.0,73.0,1.0,,1.0,4.0,3.0,6.0,,1.0,0.0,0.0,,,,,,,,7.0,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
England_Premier_League,2025-2026,Aston Villa FC,7h2icfuwy00ilm14dw5xyl5g5,M. Bizot,Goalkeeper,40,1.0,,1.0,5.0,,,,18.0,1.0,,3.0,1.0,2.0,,63.0,1.0,5.0,,,8.0,8.0,,,,,2.0,1.0,1.0,,,,51.0,,127.0,1.0,2.0,,,41.0,,48.0,,,4.0,,,9.0,,23.0,110.0,13.0,113.0,103.0,,,,,405.0,,,6.0,1.0,1.0,37.0,162.0,,126.0,,,36.0,212.0,,19.0,36.0,28.0,8.0,,2.0,,,0.0,,,,,,,,1.0,,,,,,,,,,,,,,34.0,24.0,,1.0,,,4.0,6.0,,,12.0,,,1.0,3.0,13.0,8.0,5.0,,4.0,,,,,,,,,,,
England_Premier_League,2025-2026,Aston Villa FC,9jj7t00bb5zflz78nlz3bvllg,L. Bogarde,Midfielder,26,15.0,10.0,5.0,19.0,42.0,,4.0,76.0,,,72.0,36.0,36.0,58.0,85.0,10.0,19.0,,,8.0,6.0,2.0,,,,57.0,26.0,31.0,,1.0,2.0,113.0,,305.0,,35.0,11.0,6.0,19.0,,72.0,,,6.0,5.0,2.0,2.0,3.0,5.0,275.0,136.0,146.0,277.0,4.0,9.0,,4.0,568.0,9.0,,13.0,13.0,16.0,51.0,312.0,,282.0,13.0,4.0,30.0,405.0,5.0,2.0,3.0,21.0,9.0,27.0,5.0,,,0.0,,,,,,,,13.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England_Premier_League,2025-2026,Aston Villa FC,7kbz6hqt79vasxqc2gvz2o3kk,B. Broggio,Midfielder,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England_Premier_League,2025-2026,Aston Villa FC,l0qqn9tlgov91p5d1zzdupcl,E. Buendía,Midfielder,10,44.0,30.0,14.0,22.0,95.0,11.0,3.0,109.0,,3.0,180.0,105.0,75.0,247.0,121.0,13.0,22.0,2.0,5.0,10.0,10.0,,4.0,2.0,3.0,136.0,75.0,61.0,,5.0,18.0,81.0,,405.0,,63.0,31.0,15.0,68.0,4.0,116.0,14.0,8.0,12.0,12.0,6.0,3.0,11.0,13.0,323.0,203.0,128.0,318.0,17.0,15.0,2.0,2.0,1024.0,37.0,1.0,13.0,25.0,23.0,143.0,413.0,22.0,331.0,32.0,55.0,82.0,645.0,15.0,2.0,14.0,70.0,19.0,68.0,2.0,3.0,2.0,4.0,1.0,3.0,3.0,,,,1.0,10.0,,,1.0,2.0,1.0,7.0,6.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,
England_Premier_League,2025-2026,Aston Villa FC,7t9sy750fvi5vmto3uf4dzyfo,B. Burrowes,Midfielder,83,,,,1.0,2.0,,,2.0,,,3.0,2.0,1.0,6.0,,,1.0,,,1.0,1.0,,,,,3.0,2.0,1.0,,,,3.0,,5.0,,2.0,2.0,1.0,1.0,,,,,,,,,,,3.0,1.0,2.0,3.0,,,,,16.0,1.0,,,,1.0,6.0,5.0,,3.0,,,2.0,12.0,1.0,,,4.0,1.0,2.0,,,,0.0,,,,,,,,1.0,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England_Premier_League,2025-2026,Aston Villa FC,f5jsne6dq3di1b0khfy0m9x5g,T. Carroll,Defender,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
