temporada,link,liga_url,cod_liga,folder,url_match,url_standings,url_squads,url_rankings
2025/2026,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/51r6ph2woavlbbpk8f29nynf8/fixtures,premier-league-2025-2026,51r6ph2woavlbbpk8f29nynf8,England_Premier_League,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=51r6ph2woavlbbpk8f29nynf8&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3754ce3eb8ab7e2434613a6cb279a2fa7c2a72eb7,https://api.performfeeds.com/soccerdata/standings/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=51r6ph2woavlbbpk8f29nynf8&live=yes&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3e1539d93e8d984a5f04a8bc9057256f9ae99e39f,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=51r6ph2woavlbbpk8f29nynf8&_pgSz=200&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W35a065b2dbc6542d92340e574c2e53ab1c324c862,https://api.performfeeds.com/soccerdata/rankings/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=51r6ph2woavlbbpk8f29nynf8&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W31f901e1505aa533e2f21482a0c5bbce509ca8aea
2024/2025,https://www.scoresway.com/en_GB/soccer/premier-league-2024-2025/9n12waklv005j8r32sfjj2eqc/fixtures,premier-league-2024-2025,9n12waklv005j8r32sfjj2eqc,England_Premier_League,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=9n12waklv005j8r32sfjj2eqc&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3c37957e46ee810570c057ba340129bd0eaae20f4,https://api.performfeeds.com/soccerdata/standings/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=9n12waklv005j8r32sfjj2eqc&live=yes&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W39c6141fa9e19701192990aab1392bcbe85699e35,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=9n12waklv005j8r32sfjj2eqc&_pgSz=200&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3bde2d14ba617b2b4b59714c5d24e8ba752bbde08,https://api.performfeeds.com/soccerdata/rankings/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=9n12waklv005j8r32sfjj2eqc&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3ec1f07332ae33389bbf6fdd30b616f5eb9e24dca
2023/2024,https://www.scoresway.com/en_GB/soccer/premier-league-2023-2024/1jt5mxgn4q5r6mknmlqv5qjh0/results,premier-league-2023-2024,1jt5mxgn4q5r6mknmlqv5qjh0,England_Premier_League,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=1jt5mxgn4q5r6mknmlqv5qjh0&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W39cc83d6264f228424511a596ac7fb3c7c7c7475a,https://api.performfeeds.com/soccerdata/standings/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=1jt5mxgn4q5r6mknmlqv5qjh0&live=yes&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3835c7e59072394a27270402add4c018945667645,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=1jt5mxgn4q5r6mknmlqv5qjh0&_pgSz=200&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3e348a06789d3adf1bf4c374d228dc0674c361eee,https://api.performfeeds.com/soccerdata/rankings/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=1jt5mxgn4q5r6mknmlqv5qjh0&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3c520e273f535d8f282fffa3ef6eb2e334c6bd610
2022/2023,https://www.scoresway.com/en_GB/soccer/premier-league-2022-2023/80foo89mm28qjvyhjzlpwj28k/results,premier-league-2022-2023,80foo89mm28qjvyhjzlpwj28k,England_Premier_League,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=80foo89mm28qjvyhjzlpwj28k&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W335ab8638778b1c64fbf42b148ae2d1c85edb99d6,https://api.performfeeds.com/soccerdata/standings/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=80foo89mm28qjvyhjzlpwj28k&live=yes&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3ab0ac133640b1e2a66f8c06eadc5bbc3a662e20a,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=80foo89mm28qjvyhjzlpwj28k&_pgSz=200&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W36a4ec1e78cc7756d9995cd93c1fe590e10f97d51,https://api.performfeeds.com/soccerdata/rankings/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=80foo89mm28qjvyhjzlpwj28k&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3f5e69ef1a2288ba83ae263c99c9e2905d6da282b
2021/2022,https://www.scoresway.com/en_GB/soccer/premier-league-2021-2022/8l3o9v8n8tva0bb2cds2dhatw/results,premier-league-2021-2022,8l3o9v8n8tva0bb2cds2dhatw,England_Premier_League,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=8l3o9v8n8tva0bb2cds2dhatw&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W31dfc7b2c8d41b23ee7f7bebeb4611c83ee9d3278,https://api.performfeeds.com/soccerdata/standings/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=8l3o9v8n8tva0bb2cds2dhatw&live=yes&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W355acb139165df3fccc28dee40a7cdc0d5f5412e8,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=8l3o9v8n8tva0bb2cds2dhatw&_pgSz=200&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W36636a61225dee903afc4be3d123bcb83a163136e,https://api.performfeeds.com/soccerdata/rankings/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=8l3o9v8n8tva0bb2cds2dhatw&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W34dd9bb4d7421c99145992a52a98f77609908068a
2020/2021,https://www.scoresway.com/en_GB/soccer/premier-league-2020-2021/8g80ydy1enmztpyanmadpofoq/results,premier-league-2020-2021,8g80ydy1enmztpyanmadpofoq,England_Premier_League,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=8g80ydy1enmztpyanmadpofoq&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3aebceb6bf8312492b3bf7e1fe89150927ce2d708,https://api.performfeeds.com/soccerdata/standings/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=8g80ydy1enmztpyanmadpofoq&live=yes&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W330645f9348627a0723130dd7d260b933396561b3,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=8g80ydy1enmztpyanmadpofoq&_pgSz=200&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W33d7519a573204a1189516b3f4e76ef5e18b23772,https://api.performfeeds.com/soccerdata/rankings/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=8g80ydy1enmztpyanmadpofoq&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3154e9fa2a266a3ca602b291841dfa7d697bcc825
2019/2020,https://www.scoresway.com/en_GB/soccer/premier-league-2019-2020/cpx9us94rxtkp57lqq9tpjyi2/results,premier-league-2019-2020,cpx9us94rxtkp57lqq9tpjyi2,England_Premier_League,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=cpx9us94rxtkp57lqq9tpjyi2&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W33c7e61c42982c6ddab7aedf35a78599cc4db473c,https://api.performfeeds.com/soccerdata/standings/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=cpx9us94rxtkp57lqq9tpjyi2&live=yes&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3707fed23f6244e470d2987703b4daa20232c37a5,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=cpx9us94rxtkp57lqq9tpjyi2&_pgSz=200&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W307f27f79a5a22f12d72632f0b8519c5f060c73de,https://api.performfeeds.com/soccerdata/rankings/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=cpx9us94rxtkp57lqq9tpjyi2&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W374b1ebc2dca6afa13486b19596542d46c98d78a5
2018/2019,https://www.scoresway.com/en_GB/soccer/premier-league-2018-2019/6nffa62hna5tvrgg59u8wze5m/results,premier-league-2018-2019,6nffa62hna5tvrgg59u8wze5m,England_Premier_League,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=6nffa62hna5tvrgg59u8wze5m&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W36b1cfca6c55dbb198e31397cd5eddb3ba2333ff3,https://api.performfeeds.com/soccerdata/standings/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=6nffa62hna5tvrgg59u8wze5m&live=yes&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3cfe85df47a2cebd99af8f35b311ebbd965940448,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=6nffa62hna5tvrgg59u8wze5m&_pgSz=200&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3a44d8228c529fe7dab26a967a51d3fc9664ac664,https://api.performfeeds.com/soccerdata/rankings/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=6nffa62hna5tvrgg59u8wze5m&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W349ee8cf89b200f7a4890e76ee29acdf9d540c7b8
2017/2018,https://www.scoresway.com/en_GB/soccer/premier-league-2017-2018/1pnncrpxn8wm3s9opk8n9ozxl/results,premier-league-2017-2018,1pnncrpxn8wm3s9opk8n9ozxl,England_Premier_League,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=1pnncrpxn8wm3s9opk8n9ozxl&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3b448c7e1ab551ac3110c0cdb7f31e24383472bd7,https://api.performfeeds.com/soccerdata/standings/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=1pnncrpxn8wm3s9opk8n9ozxl&live=yes&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3a2eb1b867f1eda38baa2d2512e9db370973be54a,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=1pnncrpxn8wm3s9opk8n9ozxl&_pgSz=200&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3c70df43917db53b0c33a13cb0b5be0594a52c02d,https://api.performfeeds.com/soccerdata/rankings/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=1pnncrpxn8wm3s9opk8n9ozxl&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3d465fca3d03496e8a75c7817c84dc08f209c9b8e
2016/2017,https://www.scoresway.com/en_GB/soccer/premier-league-2016-2017/2c1fh40r28amu4rgz0q66ago9/results,premier-league-2016-2017,2c1fh40r28amu4rgz0q66ago9,England_Premier_League,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=2c1fh40r28amu4rgz0q66ago9&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W38132b3af3b523ef0ba754a9bda032714509e160a,https://api.performfeeds.com/soccerdata/standings/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=2c1fh40r28amu4rgz0q66ago9&live=yes&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W392fd9b4422f299858487fe9aec0c819641bf67ff,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=2c1fh40r28amu4rgz0q66ago9&_pgSz=200&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W36ec47a1bdd3542b630ce21afc8f2b55177999303,https://api.performfeeds.com/soccerdata/rankings/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=2c1fh40r28amu4rgz0q66ago9&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3eb52fec89503d42ae7b2ae9a7739bc16ff8415a4
