liga,temporada,equipo,id,nombre,posicion,dorsal,Aerial Duels,Aerial Duels lost,Aerial Duels won,Appearances,Backward Passes,Blocked Shots,Blocks,Carries,Clean Sheets,Corners Won,Duels,Duels lost,Duels won,Final Third Touches,Forward Passes,Foul Attempted Tackle,Games Played,Goal Assists,Goals,Goals Conceded,Goals Conceded Inside Box,Goals Conceded Outside Box,Goals Openplay,Goals from Inside Box,Goals from Outside Box,Ground Duels,Ground Duels lost,Ground Duels won,Index,Interceptions,Key Passes (Attempt Assists),Leftside Passes,Offsides,Open Play Passes,Penalty Goals Conceded,Progressive Carries,PutThrough/Blocked Distribution,PutThrough/Blocked Distribution Won,Recoveries,Right Foot Goals,Rightside Passes,Shots Off Target (inc woodwork),Shots On Target ( inc goals ),Starts,Substitute Off,Successful Dribbles,Successful Launches,Successful Lay-offs,Successful Long Passes,Successful Open Play Passes,Successful Passes Opposition Half,Successful Passes Own Half,Successful Short Passes,Tackles Lost,Tackles Won,Through balls,Throw Ins to Own Player,Time Played,Times Tackled,Total Big Chances Scored,Total Clearances,Total Fouls Conceded,Total Fouls Won,Total Losses Of Possession,Total Passes,Total Shots,Total Successful Passes ( Excl Crosses & Corners ) ,Total Tackles,Total Touches In Opposition Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Dribbles,Unsuccessful Launches,Unsuccessful Long Passes,Unsuccessful Passes Opposition Half,Unsuccessful Passes Own Half,Unsuccessful Short Passes,Yellow Cards,Home Goals,Away Goals,Winning Goal,Assists (Intentional),Attempts from Set Pieces,Corners Taken (incl short corners),Foul Won Penalty,Handballs conceded,Hit Woodwork,Left Foot Goals,Substitute On,Successful Crosses & Corners,Successful Crosses open play,Total Big Chances Created,Total Big Chances Missed,Unsuccessful Corners into Box,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Overruns,Successful Corners into Box,Throw Ins to Opposition Player,Unsuccessful lay-offs,Straight Red Cards,Total Red Cards,GK Successful Distribution,Goal Kicks,Last Player Tackle,Penalties Conceded,Headed Goals,Clearances Off the Line,Total Big Chances Saved,Catches,Crosses not Claimed,Drops,GK Unsuccessful Distribution,Goalkeeper Smother,Own Goal Scored,Penalties Faced,Punches,Saves Made,Saves Made from Inside Box,Saves Made from Outside Box,Saves made - caught,Saves made - parried,Direct Setpiece Goals,Penalties Taken,Penalty Goals,Set Pieces Goals,Direct Corner Goals,Second Goal Assists,Penalties Saved,Saves from Penalty,Penalties Off Target,Red Cards - 2nd Yellow,Other Goals
England_Premier_League,2025-2026,Liverpool FC,53d0pvr7ylvfhp6p749iniqc5,Alisson Becker,Goalkeeper,1,3.0,,3.0,19.0,,,,80.0,6.0,,8.0,1.0,7.0,,283.0,,19.0,,,23.0,20.0,3.0,,,,5.0,1.0,4.0,10.0,,,200.0,,482.0,1.0,46.0,,,164.0,,106.0,,,19.0,,,19.0,,69.0,410.0,38.0,433.0,402.0,,,,,1710.0,,,28.0,,5.0,123.0,589.0,,471.0,,,118.0,762.0,,55.0,116.0,87.0,31.0,2.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,112.0,42.0,,,,,10.0,12.0,,2.0,14.0,4.0,,1.0,17.0,37.0,21.0,14.0,,6.0,,,,,,,,,,,
England_Premier_League,2025-2026,Liverpool FC,aqjq5mpg6qgnaf1exel9usjys,Stefan Bajčetić,Midfielder,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England_Premier_League,2025-2026,Liverpool FC,5tbz2hexz7vind39ot6govqzu,C. Bradley,Defender,12,31.0,16.0,15.0,15.0,95.0,4.0,4.0,156.0,2.0,8.0,136.0,75.0,61.0,253.0,168.0,11.0,15.0,1.0,,13.0,9.0,4.0,,,,105.0,59.0,46.0,10.0,13.0,3.0,190.0,1.0,480.0,1.0,85.0,33.0,22.0,43.0,,39.0,2.0,,12.0,9.0,7.0,,,10.0,401.0,255.0,162.0,403.0,4.0,15.0,3.0,91.0,932.0,26.0,,29.0,18.0,20.0,150.0,492.0,2.0,413.0,19.0,28.0,79.0,808.0,15.0,24.0,30.0,79.0,20.0,49.0,5.0,,,0.0,1.0,,1.0,,,1.0,,3.0,4.0,4.0,3.0,,,20.0,20.0,2.0,,6.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England_Premier_League,2025-2026,Liverpool FC,c6nl81c1q4unq5js94s6s942x,F. Chiesa,Forward,14,6.0,3.0,3.0,17.0,16.0,5.0,2.0,32.0,,1.0,39.0,22.0,17.0,91.0,35.0,2.0,17.0,1.0,2.0,6.0,5.0,1.0,2.0,2.0,,33.0,19.0,14.0,10.0,3.0,1.0,22.0,2.0,81.0,,22.0,9.0,3.0,6.0,2.0,12.0,5.0,2.0,1.0,1.0,1.0,,1.0,1.0,56.0,48.0,12.0,59.0,2.0,6.0,1.0,6.0,237.0,9.0,1.0,6.0,7.0,5.0,57.0,85.0,7.0,60.0,8.0,27.0,25.0,166.0,7.0,,3.0,33.0,4.0,22.0,2.0,1.0,1.0,1.0,,,,,,,,16.0,,,2.0,1.0,,12.0,12.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
England_Premier_League,2025-2026,Liverpool FC,dlei6r7mc8kc90f8o7pv8vpck,J. Danns,Forward,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England_Premier_League,2025-2026,Liverpool FC,3vx94h32ahujciraspdayj9t6,H. Ekitiké,Forward,22,63.0,40.0,23.0,21.0,107.0,12.0,2.0,114.0,1.0,8.0,176.0,111.0,65.0,335.0,52.0,6.0,21.0,2.0,10.0,18.0,17.0,1.0,9.0,10.0,,113.0,71.0,42.0,10.0,1.0,12.0,61.0,8.0,294.0,2.0,64.0,16.0,5.0,27.0,7.0,81.0,22.0,17.0,15.0,12.0,27.0,,26.0,2.0,221.0,179.0,50.0,226.0,3.0,5.0,1.0,,1342.0,44.0,8.0,21.0,26.0,7.0,158.0,301.0,39.0,228.0,8.0,98.0,73.0,552.0,24.0,,2.0,69.0,10.0,71.0,,6.0,4.0,4.0,2.0,,,,,1.0,1.0,6.0,1.0,1.0,2.0,7.0,,6.0,6.0,1.0,,,4.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
England_Premier_League,2025-2026,Liverpool FC,dz2rfsmhib89jwilpuub10qcq,H. Elliott,Midfielder,19,1.0,1.0,,5.0,22.0,4.0,1.0,27.0,,3.0,4.0,2.0,2.0,60.0,27.0,,5.0,,,2.0,2.0,,,,,3.0,1.0,2.0,10.0,,1.0,19.0,,81.0,,10.0,3.0,3.0,4.0,,14.0,1.0,,1.0,1.0,,,3.0,1.0,68.0,60.0,10.0,68.0,,,1.0,2.0,110.0,1.0,,1.0,,2.0,18.0,82.0,1.0,69.0,,9.0,13.0,103.0,1.0,2.0,4.0,12.0,3.0,9.0,,,,0.0,,,,,,,,4.0,1.0,1.0,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England_Premier_League,2025-2026,Liverpool FC,3kti58d195gmtzwrjh5nprx05,W. Endo,Midfielder,3,6.0,2.0,4.0,7.0,9.0,,,12.0,,,17.0,6.0,11.0,13.0,26.0,,7.0,1.0,,5.0,4.0,1.0,,,,11.0,4.0,7.0,10.0,,,24.0,,69.0,,9.0,5.0,2.0,,,12.0,,,,,,1.0,,4.0,58.0,26.0,34.0,56.0,4.0,1.0,1.0,,102.0,2.0,,7.0,1.0,2.0,17.0,71.0,,60.0,5.0,,11.0,97.0,1.0,,,7.0,5.0,11.0,1.0,,,0.0,,,,,,,,7.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England_Premier_League,2025-2026,Liverpool FC,9u8fzxkodzyp16zib29y513pw,K. Figueroa,Forward,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England_Premier_League,2025-2026,Liverpool FC,9qo448ueot8pfc5oqo378wag9,J. Frimpong,Defender,30,8.0,5.0,3.0,11.0,84.0,3.0,,85.0,1.0,10.0,59.0,29.0,30.0,214.0,45.0,1.0,11.0,1.0,,7.0,6.0,1.0,,,,51.0,24.0,27.0,10.0,4.0,7.0,98.0,2.0,239.0,,62.0,22.0,11.0,31.0,,15.0,3.0,1.0,6.0,4.0,14.0,1.0,2.0,4.0,200.0,155.0,56.0,199.0,,4.0,,27.0,540.0,15.0,,8.0,2.0,9.0,101.0,242.0,4.0,203.0,4.0,37.0,39.0,408.0,6.0,9.0,10.0,47.0,17.0,29.0,,,,0.0,1.0,,,,,,,5.0,8.0,8.0,2.0,,,25.0,25.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
