liga,temporada,equipo,id,nombre,posicion,dorsal,Aerial Duels,Aerial Duels lost,Aerial Duels won,Appearances,Backward Passes,Blocked Shots,Blocks,Carries,Clean Sheets,Corners Won,Duels,Duels lost,Duels won,Final Third Touches,Forward Passes,Foul Attempted Tackle,Games Played,Goal Assists,Goals,Goals Conceded,Goals Conceded Inside Box,Goals Conceded Outside Box,Goals Openplay,Goals from Inside Box,Goals from Outside Box,Ground Duels,Ground Duels lost,Ground Duels won,Index,Interceptions,Key Passes (Attempt Assists),Leftside Passes,Offsides,Open Play Passes,Penalty Goals Conceded,Progressive Carries,PutThrough/Blocked Distribution,PutThrough/Blocked Distribution Won,Recoveries,Right Foot Goals,Rightside Passes,Shots Off Target (inc woodwork),Shots On Target ( inc goals ),Starts,Substitute Off,Successful Dribbles,Successful Launches,Successful Lay-offs,Successful Long Passes,Successful Open Play Passes,Successful Passes Opposition Half,Successful Passes Own Half,Successful Short Passes,Tackles Lost,Tackles Won,Through balls,Throw Ins to Own Player,Time Played,Times Tackled,Total Big Chances Scored,Total Clearances,Total Fouls Conceded,Total Fouls Won,Total Losses Of Possession,Total Passes,Total Shots,Total Successful Passes ( Excl Crosses & Corners ) ,Total Tackles,Total Touches In Opposition Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Dribbles,Unsuccessful Launches,Unsuccessful Long Passes,Unsuccessful Passes Opposition Half,Unsuccessful Passes Own Half,Unsuccessful Short Passes,Yellow Cards,Home Goals,Away Goals,Winning Goal,Assists (Intentional),Attempts from Set Pieces,Corners Taken (incl short corners),Foul Won Penalty,Handballs conceded,Hit Woodwork,Left Foot Goals,Substitute On,Successful Crosses & Corners,Successful Crosses open play,Total Big Chances Created,Total Big Chances Missed,Unsuccessful Corners into Box,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Overruns,Successful Corners into Box,Throw Ins to Opposition Player,Unsuccessful lay-offs,Straight Red Cards,Total Red Cards,GK Successful Distribution,Goal Kicks,Last Player Tackle,Penalties Conceded,Headed Goals,Clearances Off the Line,Total Big Chances Saved,Catches,Crosses not Claimed,Drops,GK Unsuccessful Distribution,Goalkeeper Smother,Own Goal Scored,Penalties Faced,Punches,Saves Made,Saves Made from Inside Box,Saves Made from Outside Box,Saves made - caught,Saves made - parried,Direct Setpiece Goals,Penalties Taken,Penalty Goals,Set Pieces Goals,Direct Corner Goals,Second Goal Assists,Penalties Saved,Saves from Penalty,Penalties Off Target,Red Cards - 2nd Yellow,Other Goals
England_Premier_League,2025-2026,Manchester United FC,5cs6o0g04558bdb1gehmc3ht5,A. Bayındır,Goalkeeper,1,1.0,,1.0,6.0,,,,26.0,,,6.0,1.0,5.0,,124.0,,6.0,,,11.0,10.0,1.0,,,,5.0,1.0,4.0,10.0,,1.0,25.0,,144.0,,12.0,,,39.0,,28.0,,,6.0,,1.0,17.0,,31.0,89.0,25.0,82.0,76.0,,,,,540.0,,,7.0,,3.0,72.0,177.0,,107.0,,,70.0,225.0,,61.0,69.0,61.0,9.0,1.0,,,,0.0,,,,,,,,,,,1.0,,,,,,,,,,,24.0,16.0,,,,,5.0,4.0,1.0,2.0,7.0,1.0,,,1.0,13.0,11.0,2.0,,2.0,,,,,,,,,,,
England_Premier_League,2025-2026,Manchester United FC,3vtjjrqof5z2tjj84ehadqc45,Bruno Fernandes,Midfielder,8,36.0,21.0,15.0,21.0,180.0,17.0,5.0,214.0,2.0,12.0,178.0,90.0,88.0,497.0,370.0,14.0,21.0,12.0,5.0,32.0,28.0,4.0,2.0,4.0,1.0,142.0,69.0,73.0,10.0,12.0,56.0,247.0,2.0,1089.0,2.0,115.0,37.0,12.0,114.0,5.0,374.0,20.0,13.0,21.0,5.0,10.0,3.0,39.0,85.0,903.0,645.0,357.0,888.0,15.0,22.0,21.0,7.0,1807.0,29.0,4.0,36.0,15.0,27.0,333.0,1171.0,33.0,973.0,37.0,49.0,198.0,1577.0,12.0,16.0,63.0,212.0,50.0,135.0,2.0,3.0,2.0,1.0,11.0,4.0,44.0,,,5.0,,,29.0,11.0,16.0,7.0,26.0,64.0,25.0,,13.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,2.0,1.0,,,,,1.0,,
England_Premier_League,2025-2026,Manchester United FC,6nb8hub5usi3iasywa2fjf1lh,Casemiro,Midfielder,18,70.0,39.0,31.0,22.0,107.0,12.0,12.0,149.0,,4.0,211.0,104.0,107.0,191.0,322.0,24.0,22.0,2.0,5.0,18.0,17.0,1.0,1.0,4.0,1.0,141.0,65.0,76.0,10.0,16.0,19.0,258.0,1.0,883.0,1.0,78.0,49.0,32.0,85.0,1.0,213.0,12.0,8.0,21.0,14.0,4.0,4.0,17.0,48.0,720.0,388.0,350.0,688.0,25.0,27.0,9.0,,1558.0,8.0,2.0,43.0,31.0,20.0,199.0,900.0,20.0,736.0,52.0,38.0,164.0,1192.0,2.0,17.0,43.0,109.0,61.0,121.0,6.0,4.0,1.0,1.0,1.0,,,,2.0,1.0,,1.0,2.0,2.0,3.0,3.0,,6.0,6.0,,,,,,1.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
England_Premier_League,2025-2026,Manchester United FC,didsdryngjutw2x6tpwnnju5m,A. Diallo,Forward,16,23.0,14.0,9.0,18.0,203.0,12.0,1.0,254.0,2.0,9.0,171.0,83.0,88.0,437.0,110.0,6.0,18.0,2.0,2.0,22.0,20.0,2.0,1.0,1.0,1.0,148.0,69.0,79.0,10.0,12.0,27.0,234.0,7.0,579.0,2.0,148.0,26.0,10.0,72.0,,38.0,10.0,11.0,17.0,5.0,25.0,2.0,8.0,16.0,505.0,336.0,185.0,495.0,10.0,16.0,3.0,49.0,1473.0,41.0,1.0,22.0,13.0,28.0,181.0,585.0,21.0,511.0,26.0,88.0,74.0,939.0,25.0,5.0,9.0,81.0,17.0,65.0,1.0,1.0,1.0,0.0,2.0,,10.0,1.0,,1.0,1.0,1.0,10.0,8.0,5.0,4.0,6.0,24.0,18.0,7.0,2.0,4.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
England_Premier_League,2025-2026,Manchester United FC,3f3jcsa7gk6in9fskp9w5a5t5,Diogo Dalot,Defender,2,52.0,18.0,34.0,22.0,139.0,2.0,6.0,153.0,2.0,8.0,142.0,58.0,84.0,358.0,209.0,5.0,22.0,2.0,1.0,29.0,26.0,3.0,1.0,1.0,,90.0,40.0,50.0,10.0,16.0,18.0,194.0,4.0,665.0,2.0,80.0,28.0,5.0,80.0,1.0,128.0,8.0,3.0,19.0,6.0,10.0,3.0,1.0,26.0,554.0,314.0,256.0,533.0,12.0,20.0,3.0,121.0,1675.0,17.0,1.0,61.0,14.0,9.0,236.0,670.0,11.0,559.0,32.0,30.0,111.0,1118.0,7.0,10.0,18.0,101.0,38.0,93.0,3.0,1.0,0.0,0.0,2.0,,,,,,,3.0,11.0,11.0,3.0,2.0,,28.0,28.0,3.0,,55.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England_Premier_League,2025-2026,Manchester United FC,cr5wtg3ulqjts3lu3xpnmlmac,P. Dorgu,Defender,13,77.0,35.0,42.0,22.0,154.0,5.0,3.0,163.0,2.0,13.0,253.0,113.0,140.0,371.0,107.0,11.0,22.0,3.0,3.0,20.0,19.0,1.0,2.0,2.0,1.0,176.0,78.0,98.0,10.0,14.0,21.0,26.0,7.0,466.0,,104.0,42.0,18.0,72.0,,181.0,8.0,8.0,14.0,4.0,10.0,1.0,8.0,6.0,353.0,216.0,154.0,349.0,16.0,31.0,1.0,51.0,1333.0,46.0,1.0,31.0,19.0,42.0,250.0,468.0,16.0,355.0,47.0,61.0,113.0,912.0,25.0,3.0,11.0,123.0,29.0,102.0,5.0,2.0,1.0,1.0,2.0,,,,2.0,1.0,3.0,8.0,15.0,15.0,5.0,2.0,,39.0,39.0,1.0,,15.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England_Premier_League,2025-2026,Manchester United FC,bn5iwjd1avm2zrxp8qy5vrbis,T. Fredricson,Defender,33,,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,10.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,,,1.0,1.0,,,,,1.0,3.0,,1.0,1.0,1.0,,,,,,0.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England_Premier_League,2025-2026,Manchester United FC,84hisj17nuwx4scnizuxap239,T. Heaton,Goalkeeper,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England_Premier_League,2025-2026,Manchester United FC,4tb2hobv1dwon0e8djvuohxxw,A. Heaven,Defender,26,27.0,10.0,17.0,11.0,28.0,1.0,6.0,100.0,1.0,,61.0,20.0,41.0,16.0,99.0,2.0,11.0,1.0,,12.0,10.0,2.0,,,,34.0,10.0,24.0,10.0,1.0,1.0,146.0,,346.0,,45.0,2.0,,30.0,,86.0,2.0,,8.0,4.0,3.0,1.0,,11.0,312.0,85.0,240.0,314.0,7.0,9.0,,,639.0,2.0,,50.0,4.0,5.0,39.0,359.0,2.0,325.0,16.0,8.0,34.0,461.0,1.0,6.0,8.0,24.0,11.0,26.0,1.0,,,0.0,,,,,,,,3.0,,,1.0,1.0,,1.0,1.0,,,,,,,4.0,4.0,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,
England_Premier_League,2025-2026,Manchester United FC,407kah9emo9q5aefwuwo4ptlg,J. Fletcher,Midfielder,38,5.0,4.0,1.0,3.0,11.0,,1.0,10.0,,,18.0,11.0,7.0,10.0,8.0,2.0,3.0,,,,,,,,,13.0,7.0,6.0,10.0,1.0,2.0,18.0,,45.0,,1.0,1.0,,4.0,,8.0,1.0,,,,,,2.0,2.0,37.0,23.0,14.0,35.0,3.0,2.0,,,107.0,5.0,,,2.0,1.0,16.0,45.0,1.0,37.0,5.0,2.0,8.0,63.0,1.0,1.0,1.0,4.0,4.0,7.0,,,,0.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
