liga,temporada,equipo,id,nombre,posicion,dorsal,Aerial Duels,Aerial Duels lost,Aerial Duels won,Appearances,Backward Passes,Blocked Shots,Blocks,Carries,Clean Sheets,Corners Won,Duels,Duels lost,Duels won,Final Third Touches,Forward Passes,Foul Attempted Tackle,Games Played,Goal Assists,Goals,Goals Conceded,Goals Conceded Inside Box,Goals Conceded Outside Box,Goals Openplay,Goals from Inside Box,Goals from Outside Box,Ground Duels,Ground Duels lost,Ground Duels won,Index,Interceptions,Key Passes (Attempt Assists),Leftside Passes,Offsides,Open Play Passes,Penalty Goals Conceded,Progressive Carries,PutThrough/Blocked Distribution,PutThrough/Blocked Distribution Won,Recoveries,Right Foot Goals,Rightside Passes,Shots Off Target (inc woodwork),Shots On Target ( inc goals ),Starts,Substitute Off,Successful Dribbles,Successful Launches,Successful Lay-offs,Successful Long Passes,Successful Open Play Passes,Successful Passes Opposition Half,Successful Passes Own Half,Successful Short Passes,Tackles Lost,Tackles Won,Through balls,Throw Ins to Own Player,Time Played,Times Tackled,Total Big Chances Scored,Total Clearances,Total Fouls Conceded,Total Fouls Won,Total Losses Of Possession,Total Passes,Total Shots,Total Successful Passes ( Excl Crosses & Corners ) ,Total Tackles,Total Touches In Opposition Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Dribbles,Unsuccessful Launches,Unsuccessful Long Passes,Unsuccessful Passes Opposition Half,Unsuccessful Passes Own Half,Unsuccessful Short Passes,Yellow Cards,Home Goals,Away Goals,Winning Goal,Assists (Intentional),Attempts from Set Pieces,Corners Taken (incl short corners),Foul Won Penalty,Handballs conceded,Hit Woodwork,Left Foot Goals,Substitute On,Successful Crosses & Corners,Successful Crosses open play,Total Big Chances Created,Total Big Chances Missed,Unsuccessful Corners into Box,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Overruns,Successful Corners into Box,Throw Ins to Opposition Player,Unsuccessful lay-offs,Straight Red Cards,Total Red Cards,GK Successful Distribution,Goal Kicks,Last Player Tackle,Penalties Conceded,Headed Goals,Clearances Off the Line,Total Big Chances Saved,Catches,Crosses not Claimed,Drops,GK Unsuccessful Distribution,Goalkeeper Smother,Own Goal Scored,Penalties Faced,Punches,Saves Made,Saves Made from Inside Box,Saves Made from Outside Box,Saves made - caught,Saves made - parried,Direct Setpiece Goals,Penalties Taken,Penalty Goals,Set Pieces Goals,Direct Corner Goals,Second Goal Assists,Penalties Saved,Saves from Penalty,Penalties Off Target,Red Cards - 2nd Yellow,Other Goals
England_Premier_League,2025-2026,Crystal Palace FC,b4xj3gmszqkqiebdcgnfo917u,T. Adaramola,Defender,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England_Premier_League,2025-2026,Crystal Palace FC,5bljkvf529f59dfi65gb3dgyc,A. Agbinone,Midfielder,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England_Premier_League,2025-2026,Crystal Palace FC,2al1nsz8c0qwvu81wdusghrmc,D. Benamar,Defender,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England_Premier_League,2025-2026,Crystal Palace FC,a56woizbe4g6jpl3fg4tlgno5,W. Benítez,Goalkeeper,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England_Premier_League,2025-2026,Crystal Palace FC,9t1ikyd85kvlhv9r0u938836c,J. Canvot,Defender,23,13.0,4.0,9.0,9.0,12.0,,4.0,26.0,2.0,,44.0,17.0,27.0,21.0,67.0,2.0,9.0,,,6.0,5.0,1.0,,,,31.0,13.0,18.0,10.0,4.0,,62.0,,168.0,1.0,15.0,5.0,3.0,13.0,,32.0,1.0,,3.0,1.0,1.0,1.0,,6.0,145.0,52.0,98.0,144.0,7.0,9.0,,2.0,354.0,2.0,,28.0,6.0,1.0,31.0,173.0,1.0,150.0,16.0,4.0,23.0,255.0,,3.0,8.0,13.0,10.0,15.0,1.0,,,0.0,,,,,1.0,,,6.0,,,,,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
England_Premier_League,2025-2026,Crystal Palace FC,2rkdzc5ecbbj67m4dr4go915g,R. Cardines,Midfielder,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England_Premier_League,2025-2026,Crystal Palace FC,sa1syk7919nj718qqcghq3o4,B. Casey,Forward,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England_Premier_League,2025-2026,Crystal Palace FC,ezrn62nekq3wpw1qs1yu1ezmd,N. Clyne,Defender,17,5.0,4.0,1.0,7.0,46.0,1.0,,31.0,,2.0,29.0,11.0,18.0,76.0,35.0,1.0,7.0,1.0,,8.0,6.0,2.0,,,,24.0,7.0,17.0,10.0,4.0,2.0,45.0,,128.0,,19.0,16.0,5.0,15.0,,2.0,2.0,,6.0,6.0,4.0,3.0,,3.0,98.0,55.0,44.0,95.0,4.0,8.0,,18.0,422.0,3.0,,17.0,1.0,1.0,50.0,128.0,2.0,98.0,12.0,11.0,30.0,218.0,3.0,4.0,4.0,28.0,12.0,26.0,,,,0.0,1.0,,,,,,,1.0,1.0,1.0,2.0,,,10.0,10.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England_Premier_League,2025-2026,Crystal Palace FC,6784eycsmgf7ac6xujgccvq7e,J. Devenny,Midfielder,55,24.0,18.0,6.0,18.0,48.0,4.0,,62.0,1.0,3.0,91.0,61.0,30.0,139.0,60.0,4.0,18.0,,1.0,10.0,8.0,2.0,,1.0,,67.0,43.0,24.0,10.0,,7.0,65.0,1.0,193.0,,41.0,20.0,10.0,24.0,,23.0,5.0,4.0,5.0,4.0,2.0,1.0,5.0,8.0,138.0,85.0,56.0,133.0,8.0,8.0,1.0,16.0,596.0,20.0,1.0,8.0,10.0,6.0,113.0,196.0,9.0,141.0,16.0,30.0,55.0,347.0,10.0,4.0,14.0,52.0,12.0,41.0,,0.0,1.0,0.0,,1.0,,,,1.0,1.0,13.0,,,,4.0,,9.0,9.0,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,
England_Premier_League,2025-2026,Crystal Palace FC,19m0uqmf1otcekssb7tbrl1m2,C. Doucouré,Midfielder,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
